Rank,Driver,Car No.,Starts,Laps,Total time,Laps Led,Status,Points,Avg.Speed,Pit stop,City,Points (F1 Scoring),Points (IMSA Scoring),Race Number
12,Nolan Siegel,6,23,95,02:04:22.9850,95,Running,18,102.559,3,lagunaseca,0,198,8
13,Christian Rasmussen,20,21,95,02:04:24.2315,95,Running,17,102.542,3,lagunaseca,0,190,8
14,Pietro Fittipaldi,30,24,95,02:04:24.6086,95,Running,16,102.537,4,lagunaseca,0,177,8
15,Christian Lundgaard,45,6,95,02:04:24.9289,95,Running,15,102.532,3,lagunaseca,0,185,8
16,David Malukas,66,12,95,02:04:28.3554,95,Running,14,102.485,4,lagunaseca,0,169,8
17,Linus Lundqvist,8,16,95,02:04:30.0268,95,Running,13,102.462,4,lagunaseca,0,155,8
18,Agustin Canapino,78,13,95,02:04:33.3992,95,Running,12,102.416,3,lagunaseca,0,148,8
19,Josef Newgarden,2,14,95,02:04:37.1113,95,Running,12,102.365,3,lagunaseca,0,137,8
20,Sting Ray Robb,41,25,94,02:04:30.4500,94,Running,10,101.378,3,lagunaseca,0,116,8
21,Scott McLaughlin,3,7,93,02:04:31.9741,93,Running,9,100.279,5,lagunaseca,0,124,8
22,Marcus Armstrong,11,11,93,02:04:48.4558,93,Running,8,100.058,3,lagunaseca,0,110,8
23,Kyffin Simpson,4,22,86,01:50:32.2312,86,Contact,7,104.472,3,lagunaseca,0,89,8
24,Graham Rahal,15,19,86,01:50:33.2600,86,Contact,6,104.456,4,lagunaseca,0,82,8
25,Jack Harvey,18,26,82,01:44:40.7853,82,Mechanical,5,105.187,3,lagunaseca,0,65,8
26,Rinus VeeKay,21,20,72,01:39:43.0398,72,Mechanical,5,96.956,3,lagunaseca,0,61,8
27,Luca Ghiotto,51,27,34,00:40:57.8112,34,Contact,5,111.453,1,lagunaseca,0,44,8
1,Scott Dixon,9,8,85,01:42:03.1416,85,Running,53,98.350,2,longbeach,25,373,2
2,Colton Herta,26,4,85,01:42:04.1214,85,Running,41,98.334,2,longbeach,18,348,2
3,Alex Palou,10,6,85,01:42:04.9080,85,Running,35,98.321,2,longbeach,15,325,2
4,Josef Newgarden,2,3,85,01:42:07.1151,85,Running,33,98.286,2,longbeach,12,310,2
5,Marcus Ericsson,28,5,85,01:42:07.5185,85,Running,30,98.279,2,longbeach,10,286,2
6,Will Power,12,2,85,01:42:18.9055,85,Running,29,98.097,2,longbeach,8,282,2
7,Kyle Kirkwood,27,10,85,01:42:19.3204,85,Running,27,98.090,2,longbeach,6,261,2
8,Romain Grosjean,77,16,85,01:42:21.1849,85,Running,24,98.061,2,longbeach,4,245,2
9,Felix Rosenqvist,60,1,85,01:42:21.9571,85,Running,24,98.048,2,longbeach,2,255,2
10,Alexander Rossi,7,13,85,01:42:35.2331,85,Running,20,97.837,3,longbeach,1,228,2
11,Theo Pourchaire,6,22,85,01:42:36.5825,85,Running,19,97.815,2,longbeach,0,209,2
12,Marcus Armstrong,11,9,85,01:42:43.9623,85,Running,18,97.698,2,longbeach,0,212,2
13,Linus Lundqvist,8,17,85,01:42:45.1419,85,Running,17,97.680,2,longbeach,0,194,2
14,Rinus VeeKay,21,18,85,01:42:47.5741,85,Running,16,97.641,2,longbeach,0,183,2
15,Agustin Canapino,78,20,85,01:42:54.4572,85,Running,15,97.532,3,longbeach,0,171,2
16,Pato O'Ward,5,14,85,01:42:56.1377,85,Running,14,97.506,3,longbeach,0,167,2
17,Graham Rahal,15,12,85,01:43:05.6606,85,Running,13,97.355,2,longbeach,0,159,2
18,Sting Ray Robb,41,25,85,01:43:08.7314,85,Running,12,97.307,2,longbeach,0,136,2
19,Kyffin Simpson,4,26,84,01:42:06.5316,84,Running,11,97.139,2,longbeach,0,125,2
20,Nolan Siegel,51,27,84,01:42:09.8320,84,Running,10,97.086,2,longbeach,0,114,2
21,Santino Ferrucci,14,24,84,01:42:12.4251,84,Running,9,97.045,3,longbeach,0,107,2
22,Tom Blomqvist,66,15,84,01:42:28.7772,84,Running,8,96.787,3,longbeach,0,106,2
23,Christian Lundgaard,45,7,84,01:42:34.2538,84,Running,7,96.701,3,longbeach,0,104,2
24,Pietro Fittipaldi,30,19,84,01:42:52.7942,84,Running,6,96.411,3,longbeach,0,82,2
25,Jack Harvey,18,23,83,01:42:31.6976,83,Running,5,95.590,4,longbeach,0,68,2
26,Scott McLaughlin,3,11,71,01:26:53.2828,71,Running,5,96.488,2,longbeach,0,70,2
27,Christian Rasmussen,20,21,14,00:17:23.1996,14,Contact,5,95.080,0,longbeach,0,50,2
1,Pato O'Ward,5,2,80,01:33:22.6191,80,Running,51,116.071,2,midohio,25,382,9
2,Alex Palou,10,1,80,01:33:23.1184,80,Running,44,116.061,2,midohio,18,355,9
3,Scott McLaughlin,3,6,80,01:33:38.7749,80,Running,36,115.738,2,midohio,15,325,9
4,Colton Herta,26,4,80,01:33:47.4916,80,Running,32,115.558,2,midohio,12,308,9
5,Marcus Ericsson,28,5,80,01:33:54.3000,80,Running,30,115.419,2,midohio,10,286,9
6,Alexander Rossi,7,7,80,01:33:54.8634,80,Running,28,115.407,2,midohio,8,274,9
7,Christian Lundgaard,45,9,80,01:33:55.1905,80,Running,26,115.401,2,midohio,6,262,9
8,Kyle Kirkwood,27,14,80,01:33:57.8409,80,Running,24,115.346,2,midohio,4,247,9
9,Christian Rasmussen,20,8,80,01:34:02.9373,80,Running,22,115.242,2,midohio,2,243,9
10,Santino Ferrucci,14,21,80,01:34:09.5275,80,Running,20,115.108,2,midohio,1,220,9
11,Will Power,12,15,80,01:34:11.2737,80,Running,19,115.072,2,midohio,0,216,9
12,David Malukas,66,3,80,01:34:12.0097,80,Running,18,115.057,2,midohio,0,220,9
13,Toby Sowery,51,24,80,01:34:12.5057,80,Running,17,115.047,2,midohio,0,187,9
14,Felix Rosenqvist,60,19,80,01:34:14.4353,80,Running,16,115.008,3,midohio,0,182,9
15,Linus Lundqvist,8,10,80,01:34:16.0985,80,Running,15,114.974,3,midohio,0,181,9
16,Sting Ray Robb,41,25,80,01:34:17.3604,80,Running,14,114.948,2,midohio,0,156,9
17,Marcus Armstrong,11,11,80,01:34:18.4590,80,Running,13,114.926,3,midohio,0,160,9
18,Graham Rahal,15,18,80,01:34:21.4872,80,Running,12,114.865,3,midohio,0,143,9
19,Rinus VeeKay,21,20,80,01:34:23.0741,80,Running,11,114.832,3,midohio,0,131,9
20,Nolan Siegel,6,16,80,01:34:28.4782,80,Running,10,114.723,3,midohio,0,125,9
21,Kyffin Simpson,4,23,80,01:34:29.6604,80,Running,9,114.699,3,midohio,0,108,9
22,Agustin Canapino,78,22,79,01:33:25.8966,79,Running,8,114.554,2,midohio,0,99,9
23,Romain Grosjean,77,12,79,01:33:33.1085,79,Running,7,114.406,2,midohio,0,99,9
24,Pietro Fittipaldi,30,27,79,01:33:35.6225,79,Running,6,114.355,3,midohio,0,74,9
